Пушкин Александр Сергеевич;male;6-5-1799;10-1-1837;Пушкины;null;Пушкин Сергей Львович,Пушкина Надежда Осиповна;Ланская Наталья Николаевна;null
Павлищева Ольга Сергеевна;female;1-11-1797;14-4-1868;Пушкины,Павлищевы;null;Пушкин Сергей Львович,Пушкина Надежда Осиповна;null;null
Ланская Наталья Николаевна;female;8-8-1812;8-11-1863;Ланские,Пушкины,Гончаровы;null;null;null;Пушкин Александр Сергеевич
Пушкин Сергей Львович;male;3-5-1770;11-6-1848;Пушкины;Пушкин Александр Сергеевич,Павлищева Ольга Сергеевна,Пушкин Лев Сергеевич;null;Пушкина Надежда Осиповна;null
Пушкин Лев Сергеевич;male;21-3-1805;31-6-1852;Пушкины;null;Пушкин Сергей Львович,Пушкина Надежда Осиповна;null;null
Пушкина Надежда Осиповна;female;21-5-1775;29-2-1836;Пушкины;Пушкин Александр Сергеевич,Павлищева Ольга Сергеевна,Пушкин Лев Сергеевич;null;null;Пушкин Сергей Львович
